character_name,notes,rubric_description,bonus,rubric,points
Archmaester,You were expecting a reward? Your reward is not being immediately expelled from the citadel,Delivers a punchy one liner,,canon,
Archmaester,,Attendence,1,,1
Bran Stark,It was so beautiful that night. Snow falling. Just like now. And you were so beautiful in your white wedding dress.,Have a vision or prophecy,,canon,
Bran Stark,,Attendence,1,,1
Bronn,Give me 10 good men and I'll impregnate the bitch,Delivers a punchy one liner,,canon,
Bronn,,Attendence,,,
Cersei Lannister,"Totally has forced, incestuous sex with her brother",Kinky/taboo sex,5,canon,
Cersei Lannister,Frontal nudity getting out of bed,Private nudity (seen on screen),5,canon,
Cersei Lannister,Reveals to a servant that her brother is in her bed,Public nudity,,canon,
Cersei Lannister,"I never heard a sound like that. I thought ""that's true love"". Princess Bride.",Movie Reference,,altfacts,
Cersei Lannister,A fancy way of saying bet,Delivers a punchy one liner,,canon,
Cersei Lannister,Convinces Tycho to stay for a fortnight,Changes the mind of a character using only words,,canon,
Cersei Lannister,Kills Tyene with the same poison used to kill her own daughter,Kill a named character,25,canon,
Cersei Lannister,,Attendence,1,altfacts,1
Daenerys Targaryen,Altered the course of a war granting access to Dragonglass,Change the course of a war,,canon,
Daenerys Targaryen,My father was an evil man. On behalf of the house of Targaryen I ask you not to judge a daughter by that actions of her father.,Being a good ruler,,altfacts,
Daenerys Targaryen,,Attendence,1,altfacts,1
Davos Seaworth,"""This is Jon Snow!""",Delivers a punchy one liner,5,canon,
Davos Seaworth,"""This place has changed""",Bold come-ons,,canon,
Davos Seaworth,He took a knife in the heart for his people,Accidently reveals something they shouldn't,,altfacts,-5
Davos Seaworth,,Attendence,1,altfacts,1
Ellaria Sand,Has her daughter poisoned in front of her.,Degrading suffering,,altfacts,-10
Ellaria Sand,,Attendence,,altfacts,1
Euron Greyjoy,Get's a ticker tape parade. Commanding Queen's naval forces. Bonus for swagger.,Promotion (political or social),2,canon,
Euron Greyjoy,You deserve more than a true friend.,Bold come-ons,,canon,
